1,32,191,39897,0.939900
1,64,123,26137,0.931000
1,128,90,19434,0.927500
1,256,72,15819,0.907400
1,512,62,13721,0.901400
1,1024,74,16789,0.859200
2,32,240,50383,0.957500
2,64,145,30900,0.932100
2,128,99,21481,0.931000
2,256,75,16510,0.912100
2,512,64,14340,0.881000
2,1024,83,19087,0.874700
4,32,264,56699,0.948800
4,64,162,35333,0.942100
4,128,115,25379,0.909400
4,256,92,20439,0.912600
4,512,78,17385,0.888600
4,1024,70,15633,0.876100
8,32,320,70814,0.919400
8,64,188,42144,0.925300
8,128,114,25921,0.925500
8,256,75,17567,0.908000
8,512,55,12983,0.894100
8,1024,45,10761,0.843900
16,32,473,107949,0.938300
16,64,247,57257,0.937500
16,128,151,35605,0.913600
16,256,89,21857,0.915700
16,512,62,15488,0.878800
16,1024,45,11472,0.875600
